"id","title","code","crm_subject_id","agency_id","departemant_id","is_closed","created_at","updated_at","lastupdatemessage","subject_id"
"53","منو های آخر از صفحه بیروی می افتد","10052","1","1","2","1","2/1/2024 12:09:35","11/1/2024 14:09:13","2/1/2024 12:09:35","0"
"54","در منوی accounting چند seperator اضافه شود","10053","1","1","2","1","2/1/2024 12:12:09","3/1/2024 15:25:34","2/1/2024 12:12:09","0"
"55","حذف صفحه gateway access  و اضافه کردن منوی Supplier Access به Gateway management","10054","1","1","2","1","2/1/2024 13:25:17","11/1/2024 14:04:23","2/1/2024 13:25:44","0"
"56","خودکار سازی کنسلی هتل ها","10055","1","2","2","1","3/1/2024 08:30:47","3/1/2024 08:31:25","3/1/2024 08:30:47","0"
"57","موبایلی سایت","10056","1","126","2","1","3/1/2024 10:41:16","3/1/2024 15:23:20","3/1/2024 10:41:16","0"
"58","Currency Settings","10057","1","126","2","1","3/1/2024 11:10:11","3/1/2024 14:37:17","3/1/2024 11:10:11","0"
"59","لطفا از لیست کارنسی ها اسراییل حذف شود","10058","1","1","2","1","3/1/2024 13:15:37","3/1/2024 14:04:59","3/1/2024 13:44:52","0"
"60","آدرس مشتری","10059","1","126","2","1","3/1/2024 13:33:47","3/1/2024 15:07:55","3/1/2024 13:33:47","0"
"61","test","10060","1","258","2","1","4/1/2024 18:08:56","10/1/2024 11:19:59","4/1/2024 18:08:56","0"
"62","Regarding changing evant to additional services","10061","1","258","2","1","4/1/2024 18:58:56","2/9/2025 11:30:55","2/9/2025 11:30:55","0"
"63","Show flights 3 days before and after the date specified by the customer","10062","1","258","2","1","4/1/2024 19:05:06","2/9/2025 11:32:23","2/9/2025 11:32:23","0"
"64"," searching for a flight according to the date and flight number","10063","1","258","2","1","4/1/2024 19:08:41","15/9/2024 22:24:03","15/9/2024 22:24:03","0"
"65","Add an amount of 2.5% to the switch","10064","1","258","2","1","4/1/2024 19:12:16","11/11/2024 15:50:45","11/11/2024 15:50:45","0"
"66","Open return on Iraqi Airways","10065","1","258","2","1","4/1/2024 19:14:55","7/2/2025 14:38:20","7/2/2025 14:38:20","0"
"67","برای همه سایتها فایل robots.txt روی روت قرار گیرد","10066","1","1","2","1","5/1/2024 12:34:21","11/1/2024 11:52:17","11/1/2024 09:45:12","0"
"68","test ticket","10067","1","1","2","1","5/1/2024 14:01:05","11/1/2024 08:36:52","5/1/2024 18:04:24","0"
"69","اصلاح متن تسک 1117","10068","1","1","2","1","5/1/2024 14:16:31","8/2/2024 17:46:46","8/2/2024 17:46:46","0"
"70","test title","10069","1","256","2","1","5/1/2024 15:08:02","5/1/2024 15:09:01","5/1/2024 15:08:02","0"
"71","ساعت تسک 1018 ست نشده است","10070","1","1","2","1","5/1/2024 18:39:26","1/2/2024 09:07:46","1/2/2024 09:07:46","0"
"72","Failed to Direct Issue","10071","1","188","2","1","6/1/2024 22:39:45","11/1/2024 13:50:05","6/1/2024 22:39:45","0"
"73","Access Level (Person) is not effecting. ","10072","1","188","2","1","6/1/2024 23:00:22","16/8/2025 15:25:10","16/8/2025 15:25:10","0"
"74","PG Service Charge","10073","1","188","2","1","6/1/2024 23:12:07","11/11/2024 15:53:39","11/11/2024 15:53:39","0"
"75","in Mobile view/ Package and visa pic","10074","1","188","2","1","6/1/2024 23:39:23","7/1/2024 09:57:37","6/1/2024 23:39:23","0"
"76","Add a passport number","10075","1","258","2","1","7/1/2024 12:42:38","20/11/2024 10:03:29","20/11/2024 10:03:29","0"
"77","Galileo system","10076","1","258","2","1","8/1/2024 12:19:27","19/1/2025 11:41:52","19/1/2025 11:41:52","0"
"78","Airarabia Error","10077","1","188","2","1","8/1/2024 23:40:45","11/1/2024 13:31:38","8/1/2024 23:40:45","0"
"79","تست تیکت","10078","1","2","2","1","10/1/2024 09:27:48","10/1/2024 11:19:22","10/1/2024 09:27:48","0"
"80","error happened","10079","1","258","2","1","11/1/2024 10:40:28","20/11/2024 10:04:25","20/11/2024 10:04:25","0"
"81","بالا آوردن تمپلیت پروژه","10080","1","126","1","1","11/1/2024 12:21:56","11/11/2024 16:01:12","11/11/2024 16:01:12","0"
"82","Translate error messages","10081","1","258","2","1","11/1/2024 13:05:40","20/11/2024 10:04:52","20/11/2024 10:04:52","0"
"83"," Figma designs","10082","1","258","2","1","11/1/2024 18:24:43","1/2/2024 09:13:09","1/2/2024 09:13:09","0"
"84","PG AFS DYNAMIC CURRENY","10083","1","188","2","1","11/1/2024 19:28:46","16/8/2025 15:25:30","16/8/2025 15:25:30","0"
"85","duplication of names or passport numbers for one reservation","10084","1","258","2","1","11/1/2024 20:50:05","12/1/2024 14:24:36","11/1/2024 20:50:05","0"
"86","پیاده سازی اولین ساپلایر تور بنام viator.com","10085","1","1","2","1","12/1/2024 16:32:50","23/11/2024 10:52:24","23/11/2024 10:52:24","0"
"87","پیاده سازی ساپلایر هتلی ratehawk.com","10086","1","1","2","1","12/1/2024 16:34:14","23/11/2024 10:53:06","23/11/2024 10:53:06","0"
"88","وقتی کد ویزا و یا پکیج غلط باشد در مارکت پلیس، صفحه Hang میکند","10087","1","1","2","1","12/1/2024 18:47:33","23/11/2024 10:56:43","23/11/2024 10:56:43","0"
"89","در همه API OUT ها همراه قیمت خود سرویس، قیمت B2C هم ارسال شود.","10088","1","1","2","3","12/1/2024 18:51:08","1/2/2024 09:20:36","12/1/2024 18:51:08","0"
"90","فیلتر نام و بایر گروپ جابجا شود","10089","1","1","2","1","12/1/2024 19:05:33","23/11/2024 10:57:55","23/11/2024 10:57:55","0"
"91","روی باکس Change password در صفحه User profile دکمه چشم اضافه شود","10090","1","1","2","1","12/1/2024 19:15:38","23/11/2024 10:59:48","23/11/2024 10:59:48","0"
"92","کاربران بتوانند همه اکانتهای خود را شارژ کنند من جمله اکانت API","10091","1","1","2","1","12/1/2024 19:29:53","23/11/2024 11:01:57","23/11/2024 11:01:57","0"
"93","اضافه کردن 2 فیلد جدید مرتبط با SEO","10092","1","1","2","1","12/1/2024 20:13:30","19/1/2025 11:45:13","19/1/2025 11:45:13","0"
"94","اصلاح تگهای Head در صفحات سایت","10093","1","1","2","3","12/1/2024 20:14:34","12/1/2024 21:40:47","12/1/2024 20:14:34","0"
"95"," results in the hotel reservations","10094","1","258","2","1","13/1/2024 10:59:06","16/8/2025 15:27:18","16/8/2025 15:27:18","0"
"96","خطای عدم صدور  مسافر پنجم بین یک بوک 5 نفره ","10095","1","1","2","1","13/1/2024 18:01:56","23/3/2024 17:11:57","23/3/2024 17:11:57","0"
"97","Failed to issue - FZ","10096","1","188","2","1","13/1/2024 20:58:17","1/2/2024 09:27:42","1/2/2024 09:27:42","0"
"98","اضافه کردن پنج مورد پیشنهادی در فیلد سرچ مبدا/مقصد پرواز در مارکت پلیس - فاز 2","10097","1","1","2","1","14/1/2024 17:56:22","28/11/2024 22:30:31","28/11/2024 22:30:31","0"
"99","پیاده سازی مکانیزم آرکایو و دیپ سرچ ","10098","1","1","2","3","14/1/2024 18:00:38","14/1/2024 18:50:31","14/1/2024 18:00:38","0"
"100","خطای عدم نمایش api out ها","10099","1","1","2","1","14/1/2024 19:40:42","18/9/2024 16:45:25","18/9/2024 16:45:25","0"
"101","لطفا کارنسی به صورتحساب اضافه شود.","10100","1","1","2","1","14/1/2024 20:06:21","23/11/2024 11:05:18","23/11/2024 11:05:18","0"
"102","باگ مالی: مهم: در صورتحساب","10101","1","1","2","1","14/1/2024 21:19:20","11/9/2024 13:11:51","11/9/2024 13:11:51","0"
"103","در صورتحساب جهت تفکیک بهتر تراکنشها بر اساس تایپ بج رنگی بخورد","10102","1","1","2","1","14/1/2024 21:43:35","28/11/2024 22:32:33","28/11/2024 22:32:33","0"
"104","آپلود ریلیز بدون قطع شدن سایتها انجام شود","10103","1","1","2","3","15/1/2024 11:00:20","17/1/2024 18:47:24","15/1/2024 11:00:20","0"
"105","تسک های متفرقه","10104","1","263","2","1","15/1/2024 16:01:53","17/1/2024 18:42:31","17/1/2024 18:42:31","0"
"106","luxota ui (nuxt)","10105","1","267","2","1","15/1/2024 17:25:31","17/1/2024 18:42:19","17/1/2024 18:42:19","0"
"107","به درگاه Tap payment سرویس شارژ اضافه شود","10106","1","258","2","1","16/1/2024 08:07:10","28/11/2024 22:39:03","28/11/2024 22:39:03","0"
"108","تسک های متفرقه","10107","1","264","2","1","16/1/2024 08:50:42","16/1/2024 16:28:10","16/1/2024 08:50:42","0"
"109","پیاده سازی سپلایر ایرلاین سپهران ","10108","1","268","2","1","16/1/2024 10:32:55","28/11/2024 22:40:49","28/11/2024 22:40:49","0"
"110","ریست سایت سما العاصمه ","10109","1","261","2","1","16/1/2024 11:49:27","17/1/2024 18:39:45","17/1/2024 18:39:45","0"
"111","تسک های زیرساختی","10110","1","6","2","1","16/1/2024 12:45:08","17/1/2024 18:39:17","17/1/2024 18:39:17","0"
"112","بررسی موارد گزارش شده در راکت","10111","1","263","2","1","16/1/2024 15:05:13","17/1/2024 18:38:39","17/1/2024 18:38:39","0"
"113","ارسال ایمیل ها و پاسخ به ایمیلهای دریافتی","10112","1","263","2","1","16/1/2024 15:56:32","17/1/2024 18:38:28","17/1/2024 18:38:28","0"
"114","پاسخگویی به سوالات همکاران","10113","1","263","2","1","16/1/2024 15:58:01","17/1/2024 18:38:19","17/1/2024 18:38:19","0"
"115"," بررسی و جواب دهی به ایمیل ها ","10114","1","264","2","1","16/1/2024 16:27:38","17/1/2024 18:38:10","17/1/2024 18:38:10","0"
"116","باگ فیکس","10115","1","264","2","1","16/1/2024 16:29:12","17/1/2024 18:37:58","17/1/2024 18:37:58","0"
"117","جلسات و تماس ها ","10116","1","264","2","1","16/1/2024 16:30:46","17/1/2024 18:37:46","17/1/2024 18:37:46","0"
"118","Password reset ","10117","1","61","2","1","16/1/2024 17:35:56","7/2/2024 08:14:20","7/2/2024 08:14:20","0"
"119","پی ان ار سیبر هم در بوکینگ لیست برگردانده شود و پی ان ار ایرلاین در واچر به علاوه پی ان ار سیبر ثبت میشه ","10118","1","188","2","1","16/1/2024 21:55:31","16/8/2025 15:27:37","16/8/2025 15:27:37","0"
"120","جلسات","10119","1","263","2","1","17/1/2024 08:46:17","17/1/2024 18:37:33","17/1/2024 18:37:33","0"
"121","ایجاد کلاستر جدید برای MSS","10120","1","263","2","1","17/1/2024 10:03:49","17/1/2024 18:37:24","17/1/2024 18:37:24","0"
"122"," problem with the safari Supplir","10121","1","258","2","1","17/1/2024 12:10:17","20/11/2024 10:05:33","20/11/2024 10:05:33","0"
"123","فلای بغداد سیت خالی نداره","10122","1","2","2","1","17/1/2024 12:11:12","28/11/2024 22:44:07","28/11/2024 22:44:07","0"
"124","بررسی فرم Flynas","10123","1","2","2","1","17/1/2024 12:35:35","17/1/2024 18:37:12","17/1/2024 18:37:12","0"
"125","اضافه کردن عبارت No_Event_Found_Message به فایل ترجمه","10124","1","2","2","1","17/1/2024 16:22:37","28/11/2024 22:44:23","28/11/2024 22:44:23","0"
"126","تغییر روش ثبت نام سایت  به روش OTP  جهت LOG IN با موبایل و ایمیل  ","10125","1","256","2","4","17/1/2024 16:52:43","31/5/2025 10:54:44","31/5/2025 10:54:27","0"
"127"," اعمال پچ روی سیستم ","10126","1","264","2","1","17/1/2024 16:54:21","17/1/2024 18:36:56","17/1/2024 18:36:56","0"
"128","یکسان سازی فونت بخش های لوکال","10127","1","256","2","1","17/1/2024 16:56:45","16/12/2024 15:12:33","16/12/2024 15:12:33","0"
"129","تغییر رنگ ستاتوس incompleted","10128","1","258","2","1","17/1/2024 19:18:09","20/11/2024 10:08:41","20/11/2024 10:08:41","0"
"130","این 2 تیکت حسابهای مالی اش بررسی شود","10129","1","258","2","1","19/1/2024 18:53:00","23/11/2024 11:06:36","23/11/2024 11:06:36","0"
"131","اضافه کردن فرودگاه با کد WAW","10130","1","2","2","1","20/1/2024 09:25:26","28/11/2024 22:46:58","28/11/2024 22:46:58","0"
"132","جدا سازی دیتابیس","10131","1","264","2","1","20/1/2024 09:59:51","20/1/2024 13:04:59","20/1/2024 13:04:59","0"
"133","AFS payment Gateway percentage","10132","1","188","2","1","20/1/2024 11:31:29","16/8/2025 15:27:56","16/8/2025 15:27:56","0"
"134","تسک های متفرقه - ui","10133","1","267","1","1","20/1/2024 12:17:13","20/1/2024 15:56:46","20/1/2024 15:56:46","0"
"135","اصلاح گزارش اکسل Profit report","10134","1","1","1","1","20/1/2024 14:54:04","28/11/2024 22:58:28","28/11/2024 22:58:28","0"
"136","حذف لوگو و لینک لوکسوتا از 3 سایت - سایتهای آقای آری","10135","1","1","2","1","20/1/2024 15:01:38","31/1/2024 16:17:34","31/1/2024 16:17:34","0"
"137","رزرو هتل در سایت جی سی سی صادر نشد ","10136","1","188","2","1","20/1/2024 18:35:23","14/9/2025 15:01:58","14/9/2025 15:01:58","0"
"138","مشکل در سپلایر السفاری بلیت صادر نمیشه ","10137","1","258","2","1","20/1/2024 23:18:01","16/8/2025 15:29:13","16/8/2025 15:29:13","0"
"139","email address","10138","1","261","2","1","22/1/2024 13:29:07","29/12/2024 11:19:56","29/12/2024 11:19:56","0"
"140","جدا سازی ترجمه سایت و اپلیکیشن","10139","1","6","1","1","22/1/2024 14:16:01","14/9/2025 15:02:57","14/9/2025 15:02:57","0"
"141","Visa Section: Adding the possibility of defining more than one type of visa in visa profile","10140","1","261","2","1","22/1/2024 15:28:50","14/9/2025 15:04:25","14/9/2025 15:04:25","0"
"142","قسمت تبلیغاتی در صفحه ریزالت هتل با حرکت ماوس بالا و پایین نمی اید ","10141","1","258","2","1","22/1/2024 15:48:52","20/11/2024 10:09:45","20/11/2024 10:09:45","0"
"143","سیستم برکات الکوثر در موبایل ویو مثل سیستم فلای 4 ال شود ","10142","1","270","2","1","22/1/2024 16:50:07","14/9/2025 15:05:18","14/9/2025 15:05:18","0"
"144","email address","10143","1","261","2","1","22/1/2024 19:25:49","29/12/2024 11:19:44","29/12/2024 11:19:44","0"
"145","Problem in issue a reservation from Parto -Airline Sepehran-","10144","1","258","2","1","23/1/2024 10:55:10","20/11/2024 10:11:01","20/11/2024 10:11:01","0"
"146","ایراد بخش Activates ","10145","1","256","2","1","23/1/2024 13:23:42","11/11/2024 22:34:16","11/11/2024 22:34:16","0"
"147","urgent editing ","10146","1","271","1","1","23/1/2024 14:10:02","24/1/2024 19:11:37","24/1/2024 19:11:37","0"
"148","nasswalet problem ","10147","1","271","1","1","23/1/2024 14:10:48","16/8/2025 15:28:15","16/8/2025 15:28:15","0"
"149","نمایش بار در سرچ ریزالت پرواز","10148","1","1","2","3","23/1/2024 17:57:57","23/1/2024 18:43:36","23/1/2024 17:57:57","0"
"150","Premium Economy","10149","1","1","2","1","23/1/2024 18:02:47","1/2/2024 09:29:43","1/2/2024 09:29:43","0"
"151","ترکیب کلاسهای کابینها","10150","1","1","2","3","23/1/2024 18:09:14","23/1/2024 18:47:03","23/1/2024 18:09:14","0"
"152","emails for yala holiday ","10151","1","271","2","1","23/1/2024 19:29:12","16/8/2025 15:28:30","16/8/2025 15:28:30","0"
"153","emails for alauddin ","10152","1","271","2","1","23/1/2024 19:32:39","16/8/2025 15:28:46","16/8/2025 15:28:46","0"
"154","emails confirgration for babelbooking","10153","1","271","2","1","23/1/2024 19:49:37","16/8/2025 15:29:30","16/8/2025 15:29:30","0"
"155","Bug: error in displaying the flight date in mobile web","10154","1","258","2","1","23/1/2024 20:00:17","20/11/2024 12:45:56","20/11/2024 12:45:56","0"
"156","The source user for the reservation does not appear in the reservation voucher","10155","1","188","2","1","23/1/2024 20:12:57","16/8/2025 15:29:50","16/8/2025 15:29:50","0"
"157","تسک فنی بوکینگ انجین","10156","1","2","2","1","24/1/2024 08:56:53","14/9/2025 15:05:41","14/9/2025 15:05:41","0"
"158","تسک فنی اصلاح ساختار دیتابیس","10157","1","2","2","1","24/1/2024 08:58:19","24/1/2024 09:21:17","24/1/2024 09:21:17","0"
"159","بررسی وچر هتل پرتو ","10158","1","264","2","1","24/1/2024 10:25:13","24/1/2024 12:44:22","24/1/2024 12:44:22","0"
"160","test","10159","1","2","2","1","24/1/2024 12:42:32","24/1/2024 12:44:04","24/1/2024 12:44:04","0"
"161","removing luxota logo ","10160","1","271","2","1","24/1/2024 15:02:48","14/9/2025 15:06:48","14/9/2025 15:06:48","0"
"162","activing my webmail adding MX AND TXT RECORD TO YOUR SERVER ","10161","1","271","2","1","24/1/2024 15:05:09","16/8/2025 15:30:08","16/8/2025 15:30:08","0"
"163","creating two account for market place of luxota for my two other website ","10162","1","271","2","1","24/1/2024 15:18:55","24/1/2024 18:26:53","24/1/2024 18:26:53","0"
"164","اگر هتل Tripadvisor rank ندارد، نمایش داده نشود.","10163","1","1","2","3","24/1/2024 16:45:01","24/1/2024 18:33:33","24/1/2024 16:45:01","0"
"165","Tour creation mandatory fields not active ","10164","1","61","2","1","25/1/2024 10:29:33","7/2/2024 08:16:04","7/2/2024 08:16:04","0"
"166","Copy Visa Entries ","10165","1","61","2","1","25/1/2024 10:56:56","14/9/2025 15:07:23","14/9/2025 15:07:23","0"
"167","Translation Issue","10166","1","188","2","1","25/1/2024 14:41:00","27/1/2024 15:19:49","27/1/2024 15:19:49","0"
"168","Selling Rules Issue","10167","1","188","2","1","25/1/2024 14:47:15","27/1/2024 11:08:09","27/1/2024 11:08:09","0"
"169","traveldirectorypro.com ssl","10168","1","1","2","1","25/1/2024 14:56:11","23/11/2024 11:08:05","23/11/2024 11:08:05","0"
"170","Error in issuing a round trip reservation from Saber","10169","1","188","2","1","25/1/2024 17:58:18","27/1/2024 15:34:47","27/1/2024 15:34:47","0"
"171","urgent i cant issue from kplus ","10170","1","271","2","1","25/1/2024 19:28:48","26/1/2024 16:30:29","26/1/2024 16:30:29","0"
"172","Booking issue with kplus supplier ","10171","1","287","2","1","25/1/2024 19:39:08","26/1/2024 16:29:32","26/1/2024 16:29:32","0"
"173","BUG: Back office does not open on the iPhone and the ticket does not download on the iPhone","10172","1","270","2","1","26/1/2024 18:40:40","14/9/2025 15:07:41","14/9/2025 15:07:41","0"
"174","BUG : The difference price between TBO(USD) and TBO(BHD)","10173","1","188","2","1","26/1/2024 19:34:17","20/11/2024 10:09:23","20/11/2024 10:09:23","0"
"175","Allow the departure and return dates to be the same in exception to the selling rule","10174","1","258","2","1","27/1/2024 18:02:44","16/8/2025 15:30:36","16/8/2025 15:30:36","0"
"176","tap payment issue","10175","1","258","2","1","27/1/2024 23:32:02","20/11/2024 12:46:34","20/11/2024 12:46:34","0"
"177","Add a condition to the Passenger Information Validate","10176","1","258","2","1","29/1/2024 12:06:47","20/11/2024 12:46:54","20/11/2024 12:46:54","0"
"178","bugfix :package service travel","10177","1","261","2","1","29/1/2024 12:36:37","29/12/2024 11:20:08","29/12/2024 11:20:08","0"
"179","سلر در اطلاعات هتل نمایش داده نمیشود","10178","1","6","1","1","30/1/2024 12:58:18","14/9/2025 15:08:57","14/9/2025 15:08:57","0"
"180","تغییرات استاتوس incomplete و اضافه کردن نوتیفیکیشن این استاتوس","10179","1","2","2","1","31/1/2024 08:38:33","31/1/2024 08:55:12","31/1/2024 08:55:12","0"
"181","تغییرات استاتوس incomplete و اضافه کردن نوتیفیکیشن این استاتوس","10180","1","258","2","1","31/1/2024 08:55:08","20/11/2024 12:47:11","20/11/2024 12:47:11","0"
"182","اضافه کردن اطلاعات بالای فایل های لاگ","10181","1","1","2","1","31/1/2024 09:21:05","23/11/2024 11:07:59","23/11/2024 11:07:59","0"
"183","این یک پیام تست برای چک کردن api می باشد","10182","1","4","1","1","31/1/2024 10:16:50","1/2/2024 08:49:34","1/2/2024 08:49:34","0"
"184","این یک پیام تست برای چک کردن api می باشد","10183","1","4","1","1","31/1/2024 10:32:56","1/2/2024 08:49:23","1/2/2024 08:49:23","0"
"185","test","10184","1","4","1","1","31/1/2024 16:23:34","1/2/2024 08:49:20","1/2/2024 08:49:20","0"
